country,co2_em_tonnes_2017,population_2017,gdp_per_capita
Sri Lanka,436284059,21444000,3700
Sudan,353794293,40813396,1900
Suriname,104379605,570496,4000
Swaziland,35288300,1125000,4900
Sweden,4858725461,10057698,26800
Switzerland,2918791195,8451840,32700
Syria,1762385573,17070000,3300
Taiwan,8050965637,23674546,23400
Tajikistan,287463210,8880268,1000
Tanzania,203638082,54663906,600
Thailand,7013231542,69209858,7400
Timor-Leste,4729566,1243000,500
Togo,62673116,7698475,1500
Tonga,3965652,101998,2200
Trinidad and Tobago,1455796378,1384072,9500
Tunisia,808028626,11433443,6900
Turkey,9602486274,81101892,6700
Turkmenistan,2183172085,5757669,5800
Turks and Caicos Islands,3318276,37115,9600
Tuvalu,256923,11370,1100
Uganda,95059160,41162465,1400
Ukraine,25796386297,44831135,5400
United Arab Emirates,4154728973,9487203,23200
United Kingdom,77071055648,66058859,27700
United States,399000000000,325147121,37800
Uruguay,353071942,3436646,12800
Uzbekistan,6034285830,32388600,1700
Vanuatu,4315060,285510,2900
Venezuela,7571193371,29390000,4800
Vietnam,3016099138,94596642,2500
Wallis and Futuna Islands,429573,11900,3700
Yemen,619432763,27830000,800
Zambia,187368600,16853688,800
Zimbabwe,701987856,14236745,1900
